"","age_group","score_type","horizon","1","4","5","6","baseline_expex_lv","baseline_last_val"
"1","0-9","crps",7,3323.99486436552,1640.94817022414,1144.0852900069,7402.21122948621,1575.13086509171,2235.34482758621
"2","0-9","crps",14,4947.63153148621,3301.20436880345,2990.86257927931,10795.7731747414,3870.41584893371,3508.96551724138
"3","0-9","crps",21,7432.9344738,5934.8554694,5519.35140287586,16213.7910562897,6709.2208699234,5235.79310344828
"4","0-9","crps",28,10052.6301607517,7618.46505101724,7856.93425001724,22889.9809299241,9844.06380029279,5227.86206896552
"5","0-9","ae_median",7,4563.62793103448,2182.08718965517,1488.84513793103,9482.0145,1575.13086509171,2235.34482758621
"6","0-9","ae_median",14,6397.57810344828,4105.21227586207,3688.33796551724,13788.3997241379,3870.41584893371,3508.96551724138
"7","0-9","ae_median",21,9301.5435862069,7002.91751724138,6717.29339655172,20076.5369310345,6709.2208699234,5235.79310344828
"8","0-9","ae_median",28,12431.5824137931,8920.24963793103,9557.95727586207,28738.2436034483,9844.06380029279,5227.86206896552
"9","10-19","crps",7,5087.63376703448,4204.01827906897,4273.36972131035,12574.0336202517,5411.26376471605,5813.13793103448
"10","10-19","crps",14,8929.15477575862,7953.90341931034,9527.92658513793,18462.0790604897,12334.7321353343,8469.24137931034
"11","10-19","crps",21,14468.0383055172,13531.3676657241,14919.4534469483,29005.4811770586,18596.5102172954,12225.5862068966
"12","10-19","crps",28,20790.0016549448,20423.3579663069,23744.2662171517,39180.3591422966,28691.464145979,13864.5517241379
"13","10-19","ae_median",7,7058.21517241379,5241.47655172414,5108.35672413793,16122.4532758621,5411.26376471605,5813.13793103448
"14","10-19","ae_median",14,11825.6284482759,9659.35224137931,11417.4322413793,24058.6531034483,12334.7321353343,8469.24137931034
"15","10-19","ae_median",21,18979.8946551724,15878.2024137931,17935.8417241379,36442.6818965517,18596.5102172954,12225.5862068966
"16","10-19","ae_median",28,27023.6763793103,24569.9648965517,28923.4021724138,48312.6418965517,28691.464145979,13864.5517241379
"17","20-29","crps",7,7746.74582106897,3463.33695458621,3594.2650967931,12332.1586867655,5216.20337092705,6623.75862068965
"18","20-29","crps",14,12461.4799459655,7516.78988910345,8391.94076972414,21684.558795169,10561.3910322573,10019.6551724138
"19","20-29","crps",21,23593.2724107241,17302.6743364207,18294.038758931,38187.9660165931,18861.9761408837,17736.7586206897
"20","20-29","crps",28,33567.5342702621,27972.9225134621,29394.2592380552,54571.0753298448,30122.9701332457,21817.4137931034
"21","20-29","ae_median",7,10684.7686206897,4471.11689655172,4479.59603448276,16404.1831034483,5216.20337092705,6623.75862068965
