"","periods","score_type","1","4","5","6","baseline_expex_lv","baseline_last_val"
"1","Lockdown 2 
easing","crps",5319.61404271875,8135.24962325,8084.06671809375,5115.72606365625,8642.44988927233,6159
"2","Lockdown 2 
easing","ae_median",5940.02625,8424.99734375,8546.721875,5843.97703125,8642.44988927233,6159
"3","Christmas","crps",14933.4563079318,16295.0326967727,16011.9308778693,16169.5220178125,13469.4142937467,14655.8238636364
"4","Christmas","ae_median",16503.5228125,17429.7770170455,17777.2520170455,18094.1382386364,13469.4142937467,14655.8238636364
"5","Lockdown 3","crps",1318.37221305208,1144.96874385,1156.19980433542,981.4857100625,1588.63365676409,2202.64583333333
"6","Lockdown 3","ae_median",1520.23354166667,1235.70444791667,1269.86803125,1212.72489583333,1588.63365676409,2202.64583333333
"7","Lockdown 3 
Schools Open","crps",465.7123757725,465.0004426225,758.0085853075,461.1156246025,998.776046591919,1165.4875
"8","Lockdown 3 
Schools Open","ae_median",558.7625,531.99024375,820.8918625,572.02455625,998.776046591919,1165.4875
"9","Lockdown 3 
easing","crps",8613.09844471994,6122.42877899792,6958.5647303872,13337.2570039905,8162.20383726673,5899.50595238095
"10","Lockdown 3 
easing","ae_median",9814.51695833333,6819.1048735119,8055.91867857143,14698.9016458333,8162.20383726673,5899.50595238095
"11","Opening Up","crps",11156.2172405313,11514.7806110417,12039.7662746146,11386.8260573177,14372.7561625356,10821.515625
"12","Opening Up","ae_median",12579.84484375,12597.3930729167,13462.513359375,12636.5546354167,14372.7561625356,10821.515625
