"","model","periods","horizon","mad","bias","dss","crps","log_score","ae_median","se_mean"
"1","1","Lockdown 2 
easing",7,951.869044875,-0.35875,55.685929643656,4089.8913254375,83.1137529314332,4577.336875,37338339.1504323
"2","4","Lockdown 2 
easing",7,579.124872375,-0.9975,71.4525783368463,4416.4918920625,101.408217869702,4762.3615625,40543040.2990344
"3","5","Lockdown 2 
easing",7,703.641033375,-0.99875,57.5516007026261,4466.8192141875,70.3060706563761,4923.195,41504196.590365
"4","6","Lockdown 2 
easing",7,946.921794,-0.1875,90.4152729042433,6302.6549505625,Inf,6818.0059375,66785277.9373457
"5","1","Lockdown 2 
easing",14,1290.155740125,-0.775,22.6834189434512,1894.732769125,12.9645476487013,2372.165,7516144.20667196
"6","4","Lockdown 2 
easing",14,357.333472125,-1,279.158673613847,6426.456986375,Inf,6673.58875,50288444.1820438
"7","5","Lockdown 2 
easing",14,687.63914625,-1,125.860582702658,6324.380090625,178.487823132637,6768.1025,52287529.1631192
"8","6","Lockdown 2 
easing",14,1576.195611375,0.585,23.9823417313714,4226.639637,14.8182074365239,4926.564375,47901545.1098351
"9","1","Lockdown 2 
easing",21,1470.76699875,-0.9975,96.4273312203083,11203.940750875,118.252716440627,12233.26625,175559264.414203
"10","4","Lockdown 2 
easing",21,313.309518375,-1,2246.19043161394,17281.5577225,Inf,17501.6775,359775119.428048
"11","5","Lockdown 2 
easing",21,736.564019625,-1,744.356263879555,17078.248353375,Inf,17572.395,366749223.520552
"12","6","Lockdown 2 
easing",21,2232.329507625,-0.315,24.5815648894408,3630.9547165,14.5003875400907,4813.331875,29559925.7541119
"13","1","Christmas",28,4292.3282320625,0.333333333333333,69.2029426829221,21278.2080884583,96.7189388624874,23415.3730208333,1041379604.30763
"14","1","Christmas",14,2482.8479816875,0.35,48.8487058196714,11811.169335,54.8082205169908,13105.8389583333,319654242.163794
"15","4","Christmas",28,2792.46659825,0.202916666666667,888.75073820442,27737.2241335208,Inf,29327.2289583333,1976508147.63655
"16","4","Christmas",14,1567.5593119375,0.15,57.4481377281868,9844.87107964583,83.1718667217396,10654.8613541667,372189894.37908
"17","5","Christmas",28,5422.9033945625,0.1775,268.739521040575,27084.7533149167,Inf,29918.6097916667,2388773004.51619
"18","5","Christmas",14,2290.7542949375,0.139583333333333,33.1230795167622,9637.61636572917,32.1149356546202,10777.936875,408305609.25972
"19","6","Christmas",28,5509.067010125,0.437083333333333,97.0360797759616,22925.9653020208,Inf,25719.1529166667,1428505249.39925
"20","6","Christmas",14,2927.608985875,0.310416666666667,59.0336571430376,12820.8738548542,76.7312469588177,14352.8726041667,398292505.825193
"21","1","Christmas",21,3725.4528171,0.396,70.4103979269962,17809.479395625,Inf,19522.3375,755804202.573637
"22","1","Christmas",7,2079.60706695,0.5945,39.2433866465567,8190.475451125,37.8007740608131,9267.7085,146281218.057316
"23","4","Christmas",21,2444.5953882,0.283,120.698249882282,20406.676563075,Inf,21768.5435,1179878188.92636
"24","4","Christmas",7,1362.600394575,0.442,31.4310270094061,6192.953046925,28.1119252021374,6943.967,129894151.639931
"25","5","Christmas",21,4235.368809525,0.26,47.9253103777865,20188.564685775,61.7106050561147,22465.21225,1353361460.65875
"26","5","Christmas",7,1333.8181248,0.369,31.5333445527205,6197.087560075,30.6906602559646,6918.840625,135440949.147874
"27","6","Christmas",21,4624.1011551,0.3675,119.105589991206,20370.2972112,Inf,22527.28225,1024053871.5767
"28","6","Christmas",7,2314.8701121,0.4455,35.2997369948677,7879.392678925,34.7705505975356,9000.495375,157228433.835807
"29","1","Lockdown 3",21,503.666092125,0.04875,89.3418314580347,1907.80235403125,Inf,2142.97625,6944614.28848824
"30","1","Lockdown 3",7,237.6037925625,-0.3875,23.3988071397304,519.35710925,18.8804121799342,617.9365625,742647.192076311
"31","4","Lockdown 3",21,186.94807635,-0.33125,490.761838512757,1464.886371925,Inf,1554.94115625,4539525.98420039
"32","4","Lockdown 3",7,189.04817925,-0.6525,48.1486349664475,682.622460625,76.6465214514118,760.3303125,1194368.23306511
"33","5","Lockdown 3",21,292.16300925,-0.405,148.675969051295,1394.54447166875,Inf,1512.73890625,4169281.60151278
"34","5","Lockdown 3",7,156.291429525,-0.99875,55.4099811047695,868.604013875,68.9036866325593,962.6626875,1314446.85677551
"35","6","Lockdown 3",21,619.408041,-0.10625,66.8245481267043,1323.51039323125,Inf,1610.9328125,4126010.5865487
"36","6","Lockdown 3",7,273.611050125,-0.19625,30.2214339631027,559.130992875,32.3416854094994,672.1290625,1007098.2957612
"37","1","Lockdown 3",28,750.795126375,0.5325,24.6793131514,1940.3757265,18.7274992234249,2335.38875,6740167.8192266
"38","1","Lockdown 3",14,281.91083025,-0.5875,69.826367820037,1115.53862525,109.221147323948,1264.186875,2536840.58568327
