"","model","periods","horizon","mad","bias","dss","crps","log_score","ae_median","se_mean"
"1","1",NA,7,14856.53097,0.282857142857143,19.5441664965368,5921.38860010764,10.7618765451665,8483.57650026059,113855732.565812
"2","4",NA,7,10636.55364,-0.388571428571429,19.7322002277149,6989.10452769855,10.8287084659666,11103.4192537962,130518454.53315
"3","5",NA,7,9575.28738,-0.391428571428571,22.6460935829016,11992.7997059253,12.553690266174,16002.8835395105,357907973.180399
"4","6",NA,7,24406.50825,0.685714285714286,25.7701336236976,47674.6050022474,13.6110705265913,60970.6121179905,5526897386.36478
"5","1",NA,14,17799.93675,0.717142857142857,23.3884299035595,23043.5464065673,12.4248726749781,30340.646789764,1502519419.43143
"6","4",NA,14,13169.4063,-0.0314285714285714,21.7177692470794,14178.9464060938,11.590835593912,19768.5011082277,584717917.964518
"7","5",NA,14,13748.42514,-0.0828571428571429,27.9699868874258,28476.4599595845,17.5930921824106,35759.4939653705,1773235774.95431
"8","6",NA,14,29313.20472,0.902857142857143,33.3772071600412,87422.8010459737,20.2734903313255,102754.625361193,16605209520.3133
"9","1",NA,21,21864.41052,0.988571428571429,30.1822527696925,57070.4944769662,16.0830653016626,68891.055735506,5527661404.71657
"10","1","Lockdown 2",7,13370.070915,0.272857142857143,22.2929018246904,17217.6152508966,11.9290227720489,23251.8399047779,791406752.736196
"11","4",NA,21,17243.11455,0.708571428571429,22.5670002599762,20598.4031961696,12.3656818596402,27658.4448512647,1230202109.8338
"12","4","Lockdown 2",7,9592.96209,0.0957142857142857,22.4213453944334,12740.0868261166,12.1684981397171,17049.8379209964,398539519.697376
"13","5",NA,21,19339.71216,0.237142857142857,24.9066869546146,32857.6818699925,13.4124735203664,41433.7206765221,3215027200.06816
"14","5","Lockdown 2",7,9854.858085,0.02,23.2996855594439,14848.1696418012,12.5284861283839,19789.4520881026,490691864.561598
"15","6",NA,21,29963.46249,0.968571428571429,44.8653446449599,127609.510452933,36.9126202189825,143371.048592649,28485762076.9628
"16","6","Lockdown 2",7,20956.122105,0.275714285714286,24.6029694818021,35906.4567558745,14.0267014328412,44217.797047635,4630890423.48579
"17","1",NA,28,28070.93418,1,31.0003154777826,73348.8697479718,16.692740166874,88488.5703351147,8990918130.40145
"18","1","Lockdown 2",14,15743.332275,0.17,24.8974242230186,24347.802244712,14.0781012933991,31464.251466031,1493676488.70973
"19","4",NA,28,19472.03421,0.74,21.9753676423006,20939.72747097,11.8069833086923,29197.1593925613,1277208695.78482
"20","4","Lockdown 2",14,11190.394755,-0.112857142857143,28.9517893223413,19511.223511105,19.8224009842934,24086.7631865231,930218392.118488
"21","5",NA,28,26122.64952,0.234285714285714,24.2339296646147,33262.6266008003,13.1961870457223,44053.0617252405,4175711923.7478
"22","5","Lockdown 2",14,15157.31874,-0.11,29.6373755472723,28618.1009065987,18.5384816876023,35157.0894988236,1638054701.99441
"23","6",NA,28,33903.75792,0.96,43.9617125078469,143959.179450189,35.3693970618119,161694.3560494,34025304717.5588
"24","6","Lockdown 2",14,19960.85802,0.12,26.6187835904571,39217.2103451507,16.5365607505165,48357.7260463997,4472393845.99952
"25","1","Lockdown 2",21,17336.089455,-0.0885714285714286,30.4709401077682,40412.3960023613,17.4868618698449,49314.7443829294,3186710695.50031
"26","4","Lockdown 2",21,12670.273125,-0.55,42.4525636300762,37347.6392560106,35.1122888556962,42692.8076936472,2961198156.99159
"27","5","Lockdown 2",21,21255.855111,-0.405714285714286,40.2571782438699,42371.8964812055,37.2246480186779,52333.208047008,3594765701.75416
"28","6","Lockdown 2",21,22197.386595,-0.0957142857142857,31.694920742211,59485.5755098618,18.0616833594771,71353.876296057,7265541498.81304
"29","1","Lockdown 2",28,20408.7303,-0.121428571428571,32.5605817558951,46171.274050944,20.5447253299361,55471.4451412801,4344073401.57033
"30","4","Lockdown 2",28,14035.94364,-0.692857142857143,49.0733555630022,46658.3548109994,43.7983946937925,52612.0579619019,4636262765.69326
"31","5","Lockdown 2",28,28744.35228,-0.524285714285714,46.4980430296025,47354.7616784809,59.308042492106,59069.212129655,4741022893.84075
"32","6","Lockdown 2",28,24251.46006,-0.197142857142857,29.5868114293577,55457.0141615717,16.136949685446,67256.5268314966,6751361879.14904
"33","1","Lockdown 2 
easing",7,15857.12712,-0.951428571428571,24.7525240663906,28971.7167311986,13.2678995524654,37429.8790489349,1575445770.54994
"34","4","Lockdown 2 
easing",7,11209.61031,-0.82,25.2964241134933,21187.0069570127,14.5707264851543,25642.8361917921,1000420265.21876
"35","5","Lockdown 2 
easing",7,13205.2005,-0.665714285714286,30.5055572113908,27791.5082420353,19.3034305710061,34190.0978233096,1634661562.30205
"36","6","Lockdown 2 
easing",7,16120.17213,-0.957142857142857,24.914500527632,28743.902837752,13.2122047633178,37823.5576203635,1527941433.27864
"37","1","Lockdown 2 
easing",14,19006.73079,-0.882857142857143,28.8080633464318,40883.3756167507,15.9182065522227,49703.5005780214,3038158850.08021
"38","4","Lockdown 2 
easing",14,14604.46779,-0.471428571428571,31.3652683615762,35864.2632498592,21.5830122913907,43955.7394925902,2221908063.63437
"39","5","Lockdown 2 
easing",14,24159.77184,-0.368571428571429,41.5149720133686,49972.6129798094,46.9778791794423,60226.4609211616,5250027018.8988
"40","6","Lockdown 2 
easing",14,19178.45823,-0.848571428571429,31.1384980322826,42432.6328622119,19.2307474868616,51054.1934351642,3283722303.19854
"41","1","Lockdown 2 
easing",21,20813.41656,-0.417142857142857,20.8388350606554,12150.9264379165,11.3333059971002,18567.7189849332,428420478.669082
"42","1","Christmas + 
Lockdown 3",7,13107.932056,-0.0561904761904762,19.4252301001959,6709.6227494785,10.6304033224718,9478.69504665289,195315873.339727
"43","4","Lockdown 2 
easing",21,21728.26548,0.328571428571429,23.9273880400085,27368.6922118649,13.7741317354284,34837.2180756265,2290853564.64406
"44","4","Christmas + 
Lockdown 3",7,10885.1748935,0.0857142857142857,19.6874964563857,9036.35048418715,10.805457306623,11891.065383076,499391302.57393
"45","5","Lockdown 2 
easing",21,38494.58646,0.134285714285714,29.977458021833,52806.3315065095,18.6456326016132,68384.2428844806,8915800860.33899
"46","5","Christmas + 
Lockdown 3",7,13725.586746,-0.07,19.9513435794975,10362.1492394038,10.8446555322505,14669.7276453186,705048408.246039
"47","6","Lockdown 2 
easing",21,20358.07833,-0.365714285714286,21.9558453042184,16223.3389136203,11.7774496229434,24006.7261277904,656588881.069816
"48","6","Christmas + 
Lockdown 3",7,13995.727409,0.204761904761905,20.1892653032248,9513.01269764486,10.9493417676822,13762.785246897,379765094.858905
"49","1","Lockdown 2 
easing",28,23457.01944,-0.148571428571429,20.5616715960232,9999.05525709712,11.2777529105415,14400.5981119521,273347578.117902
"50","1","Christmas + 
Lockdown 3",14,14164.1336485,-0.133333333333333,20.3072580864175,7076.40541385496,11.1304273256832,9711.0349278197,174695606.823375
"51","4","Lockdown 2 
easing",28,28956.04638,0.9,25.2047359699046,41917.3405047391,13.8491991524063,56102.1357573348,4109468008.64542
"52","4","Christmas + 
Lockdown 3",14,12379.330172,0.0938095238095238,22.3966470102556,16071.4705676362,13.2402677265666,21379.9970551466,1265734159.29428
"53","5","Lockdown 2 
easing",28,63443.74749,0.242857142857143,25.3321746990017,69908.6558341874,13.1696158618179,95259.4612221759,18535671131.661
"54","5","Christmas + 
Lockdown 3",14,22056.829761,-0.0966666666666667,22.4687543910715,20406.926153151,12.8457397169573,29153.4763939679,2704771794.03425
"55","6","Lockdown 2 
easing",28,25663.44594,-0.142857142857143,20.7708084975153,10554.4137164388,11.3348570452351,15241.6124497429,304594704.797945
"56","6","Christmas + 
Lockdown 3",14,15064.93158,0.257619047619048,22.1492102219576,14759.3803100776,12.4120764861,21091.3810815028,815966058.847281
"57","1","Christmas + 
Lockdown 3",21,14820.045949,-0.244285714285714,20.5625680332057,7279.46397804827,11.5055925679625,10015.2527737002,190090229.194317
"58","4","Christmas + 
Lockdown 3",21,14042.8866205,0.0938095238095238,23.7718711337304,21389.3563173551,14.6549543433407,27888.2299584505,2345072591.69753
"59","5","Christmas + 
Lockdown 3",21,32934.3477315,-0.0957142857142857,24.1776320812597,27421.6333636248,14.7415200258325,39672.1217125522,6767893591.35445
"60","6","Christmas + 
Lockdown 3",21,17085.701966,0.246190476190476,23.0870680876997,19637.1420330822,13.7539991916818,27560.4433133785,1414134694.41597
"61","1","Christmas + 
Lockdown 3",28,15605.6275045,-0.128095238095238,21.0756468958497,6044.73800712486,13.1564517985253,7063.53830784189,92019765.1369992
"62","4","Christmas + 
Lockdown 3",28,16814.788233,0.188571428571429,27.4726892623318,30483.4000155512,22.1535395909312,37816.7636879633,5198632919.03763
"63","5","Christmas + 
Lockdown 3",28,46367.4780017,-0.0480952380952381,24.718779522118,37475.2927540296,15.2770547658441,54329.587133243,17658800128.8752
"64","6","Christmas + 
Lockdown 3",28,18519.626443,0.287142857142857,23.8995332874942,27381.3816712759,14.0807135488472,36637.5393060669,2962146413.31059
"65","1","Lockdown 3 
easing",7,11835.935739,-0.136530612244898,21.73697431345,16120.371896696,12.2899049069791,20451.2092064411,1359464750.60791
"66","4","Lockdown 3 
easing",7,7044.673446,0.0244897959183673,19.4899572932426,7164.07026958533,10.6131689290213,9802.46373288891,284193974.278804
"67","5","Lockdown 3 
easing",7,7674.04760740714,-0.111428571428571,19.9213529445224,8017.05679797354,10.9890136223091,10884.8224613661,367309084.565745
"68","6","Lockdown 3 
easing",7,13358.3392373571,-0.133877551020408,21.4986936288419,15862.262183802,12.353214663206,21077.7282048915,1352318683.71759
"69","1","Lockdown 3 
easing",14,12718.3179126429,-0.162857142857143,26.6051808830899,20848.5798578681,17.8097955143591,25962.8124098217,1876105731.47766
"70","4","Lockdown 3 
easing",14,9210.08888507143,0.0273469387755102,24.2562340377798,14785.6090302205,15.5700109632029,18649.11950991,1119269488.52306
"71","5","Lockdown 3 
easing",14,14079.1291910143,-0.0777551020408163,26.1358859094587,20798.9731574761,17.7287735997631,27008.8513666537,2697705012.01558
"72","6","Lockdown 3 
easing",14,13893.1886397,-0.24265306122449,27.4424397759585,20907.145660785,21.5067444165292,26835.5580265724,2020613750.06946
"73","1","Lockdown 3 
easing",21,13067.6960065714,-0.169591836734694,34.4508610522466,26187.5500694538,33.2784790800901,31809.3723469849,2338396022.75594
"74","4","Lockdown 3 
easing",21,12472.3813804714,-0.0363265306122449,31.7236135850089,25943.4274391507,27.2044609474103,31470.7012403687,3390360243.35981
"75","5","Lockdown 3 
easing",21,23318.8738778957,-0.0791836734693877,35.870939892822,36973.5008217218,Inf,47425.5735635735,10539350942.1201
"76","6","Lockdown 3 
easing",21,14308.7583637286,-0.275102040816327,39.140415478279,26546.0735985374,42.0157580662782,32640.315859766,2723440138.3105
"77","1","Lockdown 3 
easing",28,14397.4050752143,-0.219591836734694,48.4879840927266,30266.3948115372,Inf,35722.9100439274,2973441173.76166
"78","4","Lockdown 3 
easing",28,17590.52505975,-0.161836734693878,34.9117061504722,41197.6024917686,29.0033958848801,49055.6436300073,9280794014.86451
"79","5","Lockdown 3 
easing",28,40796.7197377993,-0.120612244897959,40.3782769852691,60366.1927373289,41.3507158792949,78417.3363751005,37422643949.7293
"80","6","Lockdown 3 
easing",28,14810.0185477929,-0.271428571428571,58.3465970145157,33351.1470278043,Inf,39723.6536943231,3698752346.76825
"81","1","Opening Up",7,24929.173464,-0.0177142857142857,21.4425477474896,18065.6630619492,11.6563178817458,25611.6243407025,1451714705.40526
"82","4","Opening Up",7,19362.658572,-0.0422857142857143,20.3919594698167,11601.5631027321,11.1230481626911,17411.3025725403,524386418.246903
"83","5","Opening Up",7,14097.265035,-0.144571428571429,20.8352857818879,12290.9604329645,11.2978360545453,16854.5054245016,803123051.589298
"84","6","Opening Up",7,24651.734526,0.012,21.2721413489077,16963.8542589574,11.5614703573829,23858.3277860388,1110947553.15152
