"","model","horizon","mad","bias","dss","crps","log_score","ae_median","se_mean"
"1","1",7,1369.61513961101,-0.0118103448275862,459035.757165536,4470.79231898308,Inf,5130.65841383166,71386622.1207983
"2","4",7,959.968613290086,-0.141724137931034,31.4403232491194,2842.05101773621,34.1842958849329,3271.41194181034,38911970.1409469
"3","5",7,839.206586954296,-0.19301724137931,326075320.131684,5073.15272265055,Inf,5473.52029436778,146993958.707806
"4","6",7,1420.78038247371,0.0263793103448276,37.2876001697189,5178.91186334353,41.4813260980184,5867.5490625,108681020.790774
"5","1",14,1884.00298692452,0.00396551724137931,449693.826690715,6810.5240369426,Inf,7722.05490119677,177161952.343491
"6","4",14,1221.40851753103,-0.107586206896552,66.0533048282916,5484.82371635603,Inf,6046.30656681034,145800394.63655
"7","5",14,1491.17607383457,-0.180431034482759,406554808.354369,7182.2443855307,Inf,7877.90576170121,225586247.31948
"8","6",14,2034.73647830431,0.10801724137931,52.3925920128516,8766.77210240345,Inf,9764.00036422414,305654348.57599
"9","1",21,2576.98397333547,0.0155172413793103,488240.337330055,11183.7333769851,Inf,12459.0663038735,477865152.975692
"10","4",21,1633.15764656897,-0.120948275862069,221.309272454937,10388.7162129466,Inf,11208.6579590517,491655672.268888
"11","5",21,2277.7560777608,-0.19551724137931,509348219.609486,11116.5126949861,Inf,12200.9657656894,504386201.297961
"12","6",21,2891.0043566069,0.0483620689655172,124.685774212593,14194.1650701612,Inf,15567.0762133621,834163900.690246
"13","1",28,3493.7769643943,0.0825862068965517,270511.761869645,15134.2070285584,Inf,16846.8055285113,915355925.067797
"14","4",28,2171.54629140388,-0.0543103448275862,369.28603337392,15736.7485309013,Inf,16899.8022866379,1086830692.16235
"15","5",28,3323.25945605029,-0.174310344827586,403602684.46159,15372.7348154683,Inf,16972.6904123991,1020833565.0013
"16","6",28,4043.5207785181,0.118620689655172,228.841516315197,19874.1868296526,Inf,21827.0731077586,1726368574.47764
"17","baseline_last_val",7,0,0,NA,4132.46551724138,Inf,4132.46551724138,46539781.7241379
"18","baseline_last_val",14,0,-0.0948275862068965,NA,6321.74568965517,NA,6321.74568965517,93762493.1336207
"19","baseline_last_val",21,0,-0.0258620689655172,NA,9542.69827586207,Inf,9542.69827586207,271784708.37931
"20","baseline_last_val",28,0,-0.0431034482758621,NA,11683.8405172414,Inf,11683.8405172414,484829865.125
"21","baseline_expex_lv",7,0,-0.181034482758621,NA,3156.22531703915,Inf,3156.22531703915,35840607.1047919
"22","baseline_expex_lv",14,0,-0.120689655172414,NA,6380.39445966782,Inf,6380.39445966782,146515918.589612
"23","baseline_expex_lv",21,0,-0.120689655172414,NA,11383.5029805922,Inf,11383.5029805922,484155692.508979
"24","baseline_expex_lv",28,0,-0.0689655172413793,NA,17269.6551089054,Inf,17269.6551089054,1139800265.99253
