"","model","horizon","mad","bias","dss","crps","log_score","ae_median","se_mean"
"1","1",7,5757.40288144448,-0.00610837438423645,25.0922770706932,13400.5361299027,16.312977101793,15986.9105858043,1089271624.77448
"2","4",7,7691.16092293552,-0.0319211822660098,22.7568664541129,12101.9368425258,13.5057792136217,15186.7671306254,710932808.981856
"3","5",7,7299.19491556552,-0.131034482758621,24.7807160975602,12547.9530066839,16.0433564312239,15554.8818350354,673237528.606621
"4","6",7,7037.86086445469,-0.154384236453202,29.0998866364913,16959.6725518135,22.2732964404029,20191.452167878,1135630905.99378
"5","1",14,6920.96033565517,-0.0751724137931035,37.9354974029789,23596.8655709616,Inf,26901.6380209424,2710194017.74596
"6","4",14,9366.77746896672,-0.0557635467980295,34.3005983043299,25498.268422774,Inf,30157.3805965577,2525598380.65184
"7","5",14,12407.6321760848,-0.125221674876847,35.3129883180264,31378.2608291951,31.5758617233725,37078.4990921147,4095990087.42163
"8","6",14,7995.76400668272,-0.204433497536946,46.1799403243303,27980.7575058641,Inf,31928.5767553237,2615208763.96283
"9","1",21,8251.32584438483,-0.0663054187192118,70.0618331795609,36688.045025697,Inf,40637.8487858506,7190693553.43132
"10","4",21,11829.9276779482,-0.0769458128078818,57.694895495639,41351.9231629343,Inf,47150.2819738314,7199479521.2914
"11","5",21,19846.7051069425,-0.113990147783251,57.1318196763094,51821.2720934888,Inf,60633.6971862016,13748521725.8248
"12","6",21,9434.5544065469,-0.210246305418719,91.1336322739972,42241.1982521968,Inf,47152.4119751001,6282289583.07634
"13","1",28,10331.6060814828,-0.0411822660098522,127.351222092299,50467.8055567022,Inf,55384.1888692796,12899873763.9322
"14","4",28,15571.3129853726,-0.0790147783251231,74.2400749479282,60544.8042689208,Inf,67879.2733457632,16361342954.6649
"15","5",28,31910.897027233,-0.12679802955665,110.174979375178,78006.8730069286,Inf,92380.2735779623,39920784659.8881
"16","6",28,11372.7171131165,-0.172807881773399,153.878034983772,58621.8090906403,Inf,64331.6042713536,11911466248.1028
"17","baseline_last_val",7,0,-0.0443349753694581,NA,12645.6233124105,Inf,12645.6233124105,361987206.435046
"18","baseline_last_val",14,0,-0.0147783251231527,NA,24051.3376766745,Inf,24051.3376766745,1370833851.1107
"19","baseline_last_val",21,0,0.0147783251231527,NA,34568.1397037789,Inf,34568.1397037789,3849022957.5894
"20","baseline_last_val",28,0,-0.0640394088669951,NA,44394.5446366657,Inf,44394.5446366657,7128618993.88461
"21","baseline_expex_lv",7,0,-0.0246305418719212,NA,14987.6864394167,Inf,14987.6864394167,666919432.145532
"22","baseline_expex_lv",14,0,-0.00492610837438424,NA,37808.0640552281,Inf,37808.0640552281,4275589235.80935
"23","baseline_expex_lv",21,0,-0.00492610837438424,NA,63242.6363475906,Inf,63242.6363475906,14597250945.3138
"24","baseline_expex_lv",28,0,-0.0147783251231527,NA,97929.3617846712,Inf,97929.3617846712,43519771495.0928
